State    wMAROut	wPCOut		wNPCOut		CNVZ	wALUOut		wMDROut		BCOND     	Time
  0             0	   xxxxxxxx	xxxxxxxx	xxxx	xxxxxxxx	00000082	x	                   0
  2            20	   00000014	00000018	0000	00000014	00000007	0	                 245
  3            20	   00000018	00000018	0000	0000007d	00000007	0	                 247
  4            20	   00000018	0000001c	0000	0000007d	00000007	0	                 249
 13            20	   00000018	0000001c	0000	ffffffd8	00000007	0	                 251
  1            20	   00000018	0000001c	0000	00000003	00000007	0	                 253
  2            24	   00000018	0000001c	0000	00000018	00000007	0	                 255
  3            24	   0000001c	0000001c	0000	ffffffd7	00000007	0	                 257
  4            24	   0000001c	00000020	0000	ffffffd7	00000007	0	                 259
 49            24	   0000001c	00000020	0000	xxxxxxxx	00000007	1	                 261
 50            28	   0000001c	00000020	0000	0000001c	00000007	1	                 263
  2            28	   0000001c	00000010	0000	xxxxxxxx	00000007	1	                 265
  3            28	   00000010	00000010	0000	xxxxxxxx	00000007	1	                 267
  4            28	   00000010	00000014	0000	xxxxxxxx	00000007	1	                 269
 10            28	   00000010	00000014	0000	00000000	00000007	0	                 271
  1            28	   00000010	00000014	0000	00000000	00000007	0	                 273
  2            16	   00000010	00000014	0000	00000010	00000007	0	                 275
  3            16	   00000014	00000014	0000	00000000	00000007	0	                 277
  4            16	   00000014	00000018	0000	00000000	00000007	0	                 279
 10            16	   00000014	00000018	0000	0000007d	00000007	0	                 281
  1            16	   00000014	00000018	0000	0000007d	00000007	0	                 283
  2            20	   00000014	00000018	0000	00000014	00000007	0	                 285
  3            20	   00000018	00000018	0000	00000096	00000007	0	                 287
  4            20	   00000018	0000001c	0000	00000096	00000007	0	                 289
 13            20	   00000018	0000001c	0000	ffffffd7	00000007	0	                 291
  1            20	   00000018	0000001c	0000	00000002	00000007	0	                 293
  2            24	   00000018	0000001c	0000	00000018	00000007	0	                 295
  3            24	   0000001c	0000001c	0000	ffffffd6	00000007	0	                 297
  4            24	   0000001c	00000020	0000	ffffffd6	00000007	0	                 299
 49            24	   0000001c	00000020	0000	xxxxxxxx	00000007	1	                 301
 50            28	   0000001c	00000020	0000	0000001c	00000007	1	                 303
  2            28	   0000001c	00000010	0000	xxxxxxxx	00000007	1	                 305
  3            28	   00000010	00000010	0000	xxxxxxxx	00000007	1	                 307
  4            28	   00000010	00000014	0000	xxxxxxxx	00000007	1	                 309
 10            28	   00000010	00000014	0000	00000000	00000007	0	                 311
  1            28	   00000010	00000014	0000	00000000	00000007	0	                 313
  2            16	   00000010	00000014	0000	00000010	00000007	0	                 315
  3            16	   00000014	00000014	0000	00000000	00000007	0	                 317
  4            16	   00000014	00000018	0000	00000000	00000007	0	                 319
 10            16	   00000014	00000018	0000	00000096	00000007	0	                 321
  1            16	   00000014	00000018	0000	00000096	00000007	0	                 323
  2            20	   00000014	00000018	0000	00000014	00000007	0	                 325
  3            20	   00000018	00000018	0000	000000af	00000007	0	                 327
  4            20	   00000018	0000001c	0000	000000af	00000007	0	                 329
 13            20	   00000018	0000001c	0000	ffffffd6	00000007	0	                 331
  1            20	   00000018	0000001c	0000	00000001	00000007	0	                 333
  2            24	   00000018	0000001c	0000	00000018	00000007	0	                 335
  3            24	   0000001c	0000001c	0000	ffffffd5	00000007	0	                 337
  4            24	   0000001c	00000020	0000	ffffffd5	00000007	0	                 339
 49            24	   0000001c	00000020	0000	xxxxxxxx	00000007	1	                 341
 50            28	   0000001c	00000020	0000	0000001c	00000007	1	                 343
  2            28	   0000001c	00000010	0000	xxxxxxxx	00000007	1	                 345
  3            28	   00000010	00000010	0000	xxxxxxxx	00000007	1	                 347
  4            28	   00000010	00000014	0000	xxxxxxxx	00000007	1	                 349
 10            28	   00000010	00000014	0000	00000000	00000007	0	                 351
  1            28	   00000010	00000014	0000	00000000	00000007	0	                 353
  2            16	   00000010	00000014	0000	00000010	00000007	0	                 355
  3            16	   00000014	00000014	0000	00000000	00000007	0	                 357
  4            16	   00000014	00000018	0000	00000000	00000007	0	                 359
 10            16	   00000014	00000018	0000	000000af	00000007	0	                 361
  1            16	   00000014	00000018	0000	000000af	00000007	0	                 363
  2            20	   00000014	00000018	0000	00000014	00000007	0	                 365
  3            20	   00000018	00000018	0000	000000c8	00000007	0	                 367
  4            20	   00000018	0000001c	0000	000000c8	00000007	0	                 369
 13            20	   00000018	0000001c	0000	ffffffd5	00000007	0	                 371
  1            20	   00000018	0000001c	0001	00000000	00000007	0	                 373
  2            24	   00000018	0000001c	0001	00000018	00000007	0	                 375
